"pth","Points:0","Points:1","Points:2"
0.5,0.0038125,0.0074695,0
0.5,0.0036872,0.00747,0
0.5,0.02975,0.0045466,0
0.5,0.027812,0.00075777,0
0.5,0.010313,0.0018403,0
0.5,0.010438,0.0018403,0
0.5,0.0085625,0.0063869,0
0.5,0.0084375,0.0063869,0
0.5,0.0086875,0.0063869,0
0.5,0.030562,0.0092018,0
0.5,0.030437,0.0092022,0
0.5,0.035188,0.007253,0
0.5,0.0018125,0.0020568,0
0.5,0.017812,0.0059539,0
0.5,0.017938,0.0059539,0
0.5,0.030312,0.0092023,0
0.5,0.033438,0.008119,0
0.5,0.033375,0.0082271,0
0.5,0.021438,0.0057374,0
0.5,0.021375,0.0056292,0
0.5,0.038188,0.0035724,0
0.5,0.010625,0.0064952,0
0.5,0.019813,0.0014073,0
0.5,0.019938,0.0014073,0
0.5,0.020563,0.0057374,0
0.5,0.020688,0.0057374,0
0.5,0.0105,0.0036806,0
0.5,0.010563,0.0035724,0
0.5,0.028813,0.00075777,0
0.5,0.011362,0.0025981,0
0.5,0.011436,0.0024874,0
0.5,0.029812,0.00075777,0
0.5,0.029937,0.00075777,0
0.5,0.028563,0.0059539,0
0.5,0.015938,0.0029228,0
0.5,0.015813,0.0029228,0
0.5,0.028188,0.0050887,0
0.5,0.030812,0.0027063,0
0.5,0.033438,0.0018403,0
0.5,0.0335,0.0019486,0
0.5,0.029687,0.0092023,0
0.5,0.029562,0.0092024,0
0.5,0.027688,0.0055209,0
0.5,0.032313,0.0087586,0
0.5,0.032186,0.0087677,0
0.5,0.028187,0.00075777,0
0.5,0.025063,0.00075777,0
0.5,0.025188,0.00075777,0
0.5,0.017188,0.0014073,0
0.5,0.017313,0.0014073,0
0.5,0.0060625,0.0033558,0
0.5,0.0061875,0.0033558,0
0.5,0.018563,0.0014073,0
0.5,0.018688,0.0014073,0
0.5,0.032438,0.0087581,0
0.5,0.03256,0.0087555,0
0.5,0.029685,0.0063819,0
0.5,0.014125,0.0077942,0
0.5,0.014063,0.0079025,0
0.5,0.025062,0.0016238,0
0.5,0.034563,0.0024898,0
0.5,0.034688,0.0024898,0
0.5,0.0080625,0.0018403,0
0.5,0.0079375,0.0018403,0
0.5,0.0077502,0.0032476,0
0.5,0.0078126,0.0033557,0
0.5,0.030313,0.0022733,0
0.5,0.0076875,0.0057374,0
0.5,0.0078125,0.0057374,0
0.5,0.00825,0.0054127,0
0.5,0.0033125,0.007686,0
0.5,0.0031875,0.007686,0
0.5,0.031488,0.0015155,0
0.5,0.031438,0.0014068,0
0.5,0.035812,0.0022733,0
0.5,0.016938,0.008552,0
0.5,0.016813,0.008552,0
0.5,0.038938,0.0040054,0
0.5,0.024188,0.00097427,0
0.5,0.02425,0.0010825,0
0.5,0.038062,0.0055209,0
0.5,0.037938,0.0055209,0
0.5,0.0078125,0.008119,0
0.5,0.0076875,0.008119,0
0.5,0.020313,0.0014073,0
0.5,0.020438,0.0014073,0
0.5,0.021875,0.0077942,0
0.5,0.021938,0.0079024,0
0.5,0.038062,0.0044384,0
0.5,0.035938,0.007686,0
0.5,0.017063,0.0014073,0
0.5,0.016938,0.0014073,0
0.5,0.0048125,0.007253,0
0.5,0.039311,0.005953,0
0.5,0.022688,0.0079025,0
0.5,0.022625,0.0077942,0
0.5,0.0375,0.0041136,0
0.5,0.015688,0.0083355,0
0.5,0.01575,0.0084437,0
0.5,0.031685,0.0087722,0
0.5,0.031625,0.00866,0
0.5,0.018313,0.0014073,0
0.5,0.018438,0.0014073,0
0.5,0.030812,0.00075777,0
0.5,0.035875,0.0077942,0
0.5,0.03475,0.0084436,0
0.5,0.034688,0.0085509,0
0.5,0.031437,0.0083354,0
0.5,0.0315,0.0084437,0
0.5,0.0105,0.0062787,0
0.5,0.010438,0.0061704,0
0.5,0.018937,0.0046549,0
0.5,0.018813,0.0046549,0
0.5,0.0094375,0.0018403,0
0.5,0.0093125,0.0018403,0
0.5,0.033312,0.0018403,0
0.5,0.03175,0.0010825,0
0.5,0.038563,0.0037889,0
0.5,0.0074375,0.0031393,0
0.5,0.007375,0.0030311,0
0.5,0.01125,0.0062787,0
0.5,0.024938,0.0092019,0
0.5,0.019938,0.008552,0
0.5,0.019813,0.008552,0
0.5,0.0066875,0.0035724,0
0.5,0.016188,0.0014073,0
0.5,0.016313,0.0014073,0
0.5,0.018375,0.0043301,0
0.5,0.018438,0.0044384,0
0.5,0.020813,0.0059539,0
0.5,0.02075,0.0058457,0
